Segmento,Punto_Inicio,Punto_Fin,Pendiente(b0),Interseccion(b1),RMSE
Segmento 1,0,20,-0.09752631308270676,1.7744508372857144,0.7388866077517252
Segmento 2,20,32,0.015999328216783036,0.5637097646386993,0.9193140307954382
Segmento 3,32,62,0.025719207263626167,-0.2833262554252832,0.8120488868058967
Segmento 4,62,88,-0.0023647434017091762,1.378048843811949,1.0313828435078078
Segmento 5,88,104,-0.04715453292647065,5.433180381352948,0.583338124803595
Segmento 6,104,139,-0.012098067322128809,2.818849235977586,1.0206014796952674
Segmento 7,139,158,0.047366826789474493,-5.652496796421173,0.8604374674509947
Segmento 8,158,178,0.02653237027819508,-2.8541092810976756,0.8595568793548324
Segmento 9,178,1000,0.0070292110951675965,-0.48277644209737147,1.0593188979092012
