serie,iteracion,puntos_corte,rmse_medio,tiempo
serie_1,74,"[3, 10, 54, 104, 120, 136, 176, 190]",2.024644,0.000579
serie_1,75,"[17, 89, 102, 114, 123, 164, 197, 199]",2.461161,0.000575
serie_1,76,"[42, 43, 44, 93, 108, 139, 183, 199]",2.354222,0.000543
serie_1,77,"[1, 62, 70, 104, 106, 117, 124, 152]",2.422856,0.000559
serie_1,78,"[13, 79, 84, 94, 137, 141, 159, 188]",2.417513,0.000542
serie_1,79,"[42, 43, 51, 75, 85, 127, 128, 157]",1.874509,0.000549
serie_1,80,"[43, 53, 54, 85, 131, 141, 164, 172]",1.944127,0.000533
serie_1,81,"[14, 34, 36, 37, 47, 61, 151, 160]",2.439006,0.000549
serie_1,82,"[26, 36, 83, 106, 129, 149, 184, 198]",2.019130,0.000536
serie_1,83,"[11, 45, 58, 59, 84, 105, 111, 154]",1.669832,0.000553
serie_1,84,"[38, 63, 64, 77, 93, 103, 116, 197]",2.394812,0.000550
serie_1,85,"[44, 50, 71, 74, 151, 155, 189, 198]",2.380725,0.000540
serie_1,86,"[1, 21, 40, 88, 129, 149, 157, 184]",2.179031,0.000547
serie_1,87,"[25, 56, 58, 64, 78, 119, 165, 194]",1.958660,0.000536
serie_1,88,"[14, 17, 25, 33, 87, 126, 181, 193]",2.528088,0.000546
serie_1,89,"[11, 63, 77, 102, 107, 119, 159, 173]",2.404676,0.000536
serie_1,90,"[11, 21, 38, 79, 89, 138, 139, 195]",2.800311,0.000552
serie_1,91,"[8, 94, 124, 134, 137, 180, 185, 189]",2.720833,0.000616
serie_1,92,"[39, 49, 69, 103, 112, 150, 176, 188]",1.765278,0.000549
serie_1,93,"[5, 12, 44, 61, 71, 101, 133, 180]",1.810789,0.000559
serie_1,94,"[15, 18, 56, 89, 106, 129, 133, 173]",1.669662,0.000549
serie_1,95,"[14, 18, 57, 70, 119, 123, 130, 167]",2.152053,0.000525
serie_1,96,"[43, 58, 120, 121, 128, 137, 159, 167]",2.401532,0.000571
serie_1,97,"[24, 25, 82, 115, 146, 179, 186, 187]",2.001817,0.000636
serie_1,98,"[4, 6, 79, 146, 158, 163, 181, 184]",2.931727,0.000539
serie_1,99,"[25, 52, 63, 68, 83, 101, 139, 147]",1.799840,0.000574
serie_1,100,"[3, 72, 76, 79, 85, 118, 142, 195]",2.680747,0.000542
serie_2,1,"[45, 216, 238, 301, 314, 343, 404, 413, 438]",1.751544,0.000763
serie_2,2,"[16, 68, 119, 192, 205, 343, 422, 434, 497]",1.805232,0.000678
serie_2,3,"[86, 118, 212, 294, 296, 300, 380, 434, 478]",1.534718,0.000706
serie_2,4,"[1, 68, 69, 76, 113, 120, 405, 418, 487]",1.999825,0.000740
serie_2,5,"[60, 121, 130, 307, 312, 403, 417, 443, 480]",1.783421,0.000767
serie_2,6,"[19, 224, 234, 259, 313, 315, 322, 431, 432]",2.191452,0.000700
serie_2,7,"[13, 69, 163, 202, 223, 286, 316, 401, 417]",1.429417,0.000669
serie_2,8,"[26, 71, 175, 229, 248, 304, 338, 393, 417]",1.567732,0.000662
serie_2,9,"[56, 116, 162, 260, 319, 368, 382, 407, 408]",1.516631,0.000695
serie_2,10,"[24, 57, 120, 231, 249, 364, 383, 466, 496]",1.928101,0.000704
serie_2,11,"[88, 140, 142, 150, 225, 231, 242, 409, 473]",1.879593,0.000675
serie_2,12,"[29, 101, 177, 276, 313, 335, 402, 435, 490]",1.674711,0.000654
serie_2,13,"[58, 84, 136, 150, 211, 215, 299, 422, 435]",1.775115,0.000655
serie_2,14,"[153, 157, 160, 174, 256, 273, 297, 338, 386]",2.061555,0.000660
serie_2,15,"[5, 42, 170, 205, 213, 282, 368, 448, 483]",1.706655,0.000653
serie_2,16,"[123, 313, 320, 360, 415, 420, 421, 431, 445]",2.013822,0.000699
serie_2,17,"[93, 121, 142, 178, 202, 214, 323, 360, 398]",1.786490,0.000679
serie_2,18,"[43, 145, 169, 230, 324, 331, 340, 410, 412]",1.780180,0.000668
serie_2,19,"[19, 133, 144, 226, 229, 370, 391, 456, 463]",2.203197,0.000662
serie_2,20,"[100, 137, 189, 245, 247, 252, 402, 459, 493]",1.886862,0.000696
serie_2,21,"[27, 48, 175, 237, 358, 415, 468, 470, 495]",1.728291,0.000776
serie_2,22,"[41, 92, 132, 159, 194, 240, 265, 274, 350]",1.752574,0.000689
serie_2,23,"[1, 46, 93, 102, 205, 318, 354, 359, 410]",1.678226,0.000696
serie_2,24,"[48, 103, 127, 190, 210, 225, 272, 368, 426]",1.545620,0.000676
serie_2,25,"[12, 21, 210, 276, 286, 295, 301, 396, 428]",1.857894,0.000663
serie_2,26,"[18, 150, 206, 275, 290, 352, 375, 472, 495]",2.019872,0.000674
serie_2,27,"[16, 81, 189, 196, 390, 412, 450, 456, 492]",1.944267,0.000934
serie_2,28,"[30, 118, 169, 195, 243, 245, 251, 324, 483]",1.983381,0.000684
serie_2,29,"[11, 102, 154, 281, 282, 283, 321, 329, 345]",2.020146,0.000654
serie_2,30,"[3, 24, 28, 126, 173, 214, 263, 435, 451]",2.049823,0.000663
serie_2,31,"[25, 52, 79, 107, 152, 273, 301, 394, 496]",1.732355,0.000664
serie_2,32,"[81, 161, 207, 267, 268, 269, 337, 419, 487]",1.673527,0.000651
serie_2,33,"[110, 159, 162, 172, 253, 258, 276, 331, 410]",1.681045,0.000678
serie_2,34,"[80, 91, 104, 170, 208, 327, 419, 436, 465]",1.919140,0.000654
serie_2,35,"[12, 94, 137, 160, 197, 225, 247, 257, 405]",1.835979,0.000642
serie_2,36,"[45, 69, 103, 174, 186, 322, 372, 435, 496]",1.643625,0.000643
serie_2,37,"[58, 94, 181, 188, 201, 227, 330, 399, 433]",1.762589,0.000639
serie_2,38,"[29, 76, 119, 155, 186, 342, 438, 463, 476]",1.791850,0.000639
serie_2,39,"[129, 173, 215, 241, 249, 299, 337, 368, 441]",1.691435,0.000653
serie_2,40,"[105, 116, 180, 229, 249, 314, 321, 356, 465]",1.640738,0.000708
serie_2,41,"[6, 40, 60, 97, 140, 208, 215, 369, 427]",1.815748,0.000639
serie_2,42,"[161, 165, 244, 299, 318, 414, 443, 453, 495]",1.959410,0.000654
serie_2,43,"[33, 35, 55, 99, 111, 198, 227, 376, 493]",2.003321,0.000652
serie_2,44,"[86, 115, 246, 253, 279, 297, 340, 420, 466]",1.768744,0.000669
